dataset,F2,F3,F4,N2,N3,N4,Raug,L1,L2,L3,T1,BayesImbalance,rank_F2,rank_F3,rank_F4,rank_N2,rank_N3,rank_N4,rank_Raug,rank_L1,rank_L2,rank_L3,rank_T1,rank_BayesImbalance,difficulty_score
cleveland,0.209468598191358,0.98989898989899,0.8080808080808081,1.0098928549106183,0.4208754208754209,0.010101010101010102,0.8552188552188552,0.16670986583211053,0.14141414141414144,0.10774410774410774,1.0,0.07744107744107742,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,1.5,2.0,2.4583333333333335
kaggle_heart,0.25247379801195236,0.9934640522875817,0.9455337690631809,0.9614952428482405,0.3431372549019608,0.02287581699346405,0.7875816993464052,0.20051510855416851,0.22113289760348587,0.19389978213507625,0.9983333333333333,0.10675381263616557,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.1666666666666665
cardio70k,0.40075908406629895,0.9998571428571429,0.9993571428571428,1.0913507475460493,0.411,0.163,0.881,0.19229175069821114,0.29207142857142854,0.279,1.0,0.0006000000000000449,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.5,3.0,1.375
